### Smoothing Techniques Applied to Telugu Bigram Corpus
This file contains smoothed probabilities for each bigram using three techniques:

1. Add-One Smoothing:
   P(w₂ | w₁) = (count(w₁, w₂) + 1) / (count(w₁) + V)
2. Add-K Smoothing (k = 0.3):
   P(w₂ | w₁) = (count(w₁, w₂) + k) / (count(w₁) + k × V)
3. Token Type Smoothing:
   P(w₂ | w₁) = (count(w₁, w₂) + weight(w₂)) / (∑ bigram_counts + ∑ token_type_weights)

Bigram	Count	PrefixCount	AddOne	AddK	TokenType
('సెలవు', 'ఇవ్వనున్నారు')	1	5	0.000241	0.000521	0.000074
('ఇవ్వనున్నారు', '</s>')	1	1	0.000241	0.000521	0.000059
('<s>', '2021')	1	1945	0.000195	0.000293	0.000074
('2021', 'సెప్టెంబర్')	1	4	0.000241	0.000521	0.000074
('సెప్టెంబర్', '13')	1	2	0.000241	0.000521	0.000074
('13', 'న')	2	5	0.000361	0.000921	0.000104
('న', 'తమిళనాడు')	1	40	0.000240	0.000513	0.000074
('తమిళనాడు', 'శాసనసభలో')	1	1	0.000241	0.000521	0.000074
('శాసనసభలో', 'పోలీస్')	1	1	0.000241	0.000521	0.000074
('పోలీస్', 'గ్రాంట్')	1	5	0.000241	0.000521	0.000074
('గ్రాంట్', '\u200c')	1	1	0.000241	0.000521	0.000074
('\u200c', 'పై')	11	995	0.001290	0.003241	0.000370
('పై', 'జరిగిన')	1	25	0.000240	0.000516	0.000074
('జరిగిన', 'చర్చ')	1	8	0.000241	0.000520	0.000074
('చర్చ', 'సందర్భంగా')	1	2	0.000241	0.000521	0.000074
('సందర్భంగా', '</s>')	1	11	0.000240	0.000519	0.000059
('<s>', 'సీఎం')	3	1945	0.000390	0.000744	0.000133
('సీఎం', 'స్టాలిన్')	1	12	0.000240	0.000519	0.000074
